HomePlanet;Cabin;Destination;Transported
1;121171;1;0
1;121171;1;0
1;121171;2;0
1;121171;3;1
1;121171;2;1
1;121120;1;0
2;80561;3;0
2;80561;3;1
-4;80561;1;1
2;80561;3;1
1;101431;1;0
1;101610;1;1
2;50;1;0
1;101620;-4;0
1;121181;2;0
0;101630;1;1
2;40331;3;1
1;101650;1;0
1;121130;1;1
1;121140;1;0
1;101660;3;0
2;81;1;0
2;81;1;0
2;81;1;1
1;121191;2;1
1;121150;2;0
1;121170;2;0
0;101441;3;1
0;101441;3;1
1;101451;1;0
2;60281;3;1
1;101461;1;0
0;101471;2;1
2;60;3;0
0;101481;1;1
2;40290;3;1
1;101491;1;0
1;121201;1;1
1;80571;1;0
0;101511;1;1
0;101511;1;0
0;101511;1;0
0;101511;1;1
0;101521;2;0
0;101521;1;1
0;101521;1;1
0;101690;1;1
1;80591;1;0
2;80601;3;0
1;121190;1;0
2;20291;1;1
1;121211;2;1
1;101541;3;1
1;121221;1;0
1;101561;1;1
1;121231;3;1
1;-1;3;1
0;101581;1;0
1;121200;1;1
1;-1;1;1
1;101591;1;0
1;101591;1;1
1;101700;2;1
1;101710;1;1
2;-1;3;1
1;101730;1;0
1;121241;3;0
0;101601;2;0
2;20301;1;0
1;121230;1;0
2;20311;3;0
1;121251;1;0
0;101750;1;1
0;101750;1;1
2;20321;1;1
2;20321;3;1
0;80621;1;1
1;101760;3;0
-4;91;3;1
1;121271;1;1
1;80480;1;0
1;121291;1;0
1;121291;1;0
1;121291;1;0
2;20351;3;1
2;20351;3;1
1;101631;1;0
1;121301;1;1
1;101641;1;0
1;121260;2;0
2;101;1;1
1;101800;1;0
1;101651;1;0
1;121311;1;0
1;101661;1;0
2;40300;3;1
0;60311;2;0
1;-1;1;0
2;60321;1;0
1;121270;1;0
1;121331;1;0
1;121331;3;1
2;40320;1;0
2;40320;3;1
0;101840;1;0
1;121290;3;1
1;121341;1;0
1;101870;1;1
1;121300;1;0
0;101671;1;1
1;101880;1;1
1;121351;3;0
2;40330;1;0
0;60380;2;0
1;101681;3;1
2;20340;3;0
2;20340;1;0
1;121371;1;1
0;101890;1;0
-4;101890;1;1
2;20371;1;1
2;80510;3;0
1;121381;1;0
1;80661;1;0
1;101900;2;0
1;121391;2;0
2;20350;3;1
2;20350;3;0
2;40381;3;1
2;20381;1;1
1;80671;1;0
0;101910;1;0
0;101910;1;1
0;101910;1;1
2;20391;3;1
2;20391;1;0
1;121401;1;0
1;121330;2;1
1;101920;1;0
1;121340;1;1
1;101930;1;1
0;-1;1;1
2;40350;1;1
2;40350;1;0
1;101940;1;0
1;101721;1;0
1;80681;1;1
1;121431;1;1
1;121350;-4;1
1;121360;1;1
1;101950;1;0
0;101960;1;0
1;121370;1;0
1;121370;3;0
1;101980;1;1
1;121380;3;0
1;121400;3;1
1;121441;2;1
0;101751;1;0
1;101990;2;0
1;121451;3;0
1;80701;1;1
0;102010;1;1
1;80721;1;0
1;121410;3;1
2;20360;1;1
2;20360;1;1
0;101781;1;0
1;101791;1;0
1;80530;1;0
0;102020;1;1
1;121420;1;1
1;121430;1;0
1;80540;1;0
1;80560;3;1
1;121461;1;0
1;102030;1;0
2;20401;-4;1
1;121450;2;1
1;121450;1;0
1;121491;3;1
1;121501;1;0
1;101821;1;0
1;121501;1;0
1;121501;1;1
1;101821;3;0
1;121501;1;1
1;121501;2;0
1;121501;1;1
1;80570;3;1
1;102040;1;0
-4;121511;1;0
1;80731;1;1
1;121460;1;0
1;101831;2;0
1;121521;1;0
2;60351;1;1
2;60351;1;0
2;60351;3;1
2;-1;3;0
2;60351;3;1
2;60351;3;0
1;101841;3;0
1;121531;1;0
1;101851;1;0
2;40360;3;1
0;101861;1;0
2;40370;1;1
0;60390;-4;0
1;121541;1;0
0;101871;3;1
0;101871;1;0
0;101871;1;1
2;111;3;1
1;121561;1;0
1;80741;1;0
1;80741;1;1
1;-1;1;1
2;40391;3;1
2;40391;1;1
1;-1;1;0
1;121480;1;0
1;121490;1;1
1;121581;1;0
0;102070;1;1
1;101891;1;0
1;101901;1;0
1;121500;1;1
1;101911;-4;1
0;102080;1;1
1;-1;1;0
1;102090;3;0
1;121520;1;1
-4;121520;3;0
1;121520;3;0
1;102100;1;0
1;121591;1;0
0;102110;1;1
0;102110;1;0
0;102110;1;0
0;102110;3;1
0;102120;1;1
1;102130;1;0
1;101941;1;0
1;121530;2;0
1;121540;1;1
1;121550;1;0
0;102140;3;1
1;121611;2;1
1;121631;1;0
1;121641;2;1
2;-1;1;1
1;102150;1;0
2;40380;1;0
2;40380;1;0
1;101961;1;0
1;121560;1;1
1;102160;1;1
0;102170;3;1
0;102170;1;1
1;101971;1;0
1;101981;3;0
1;101991;2;0
1;102001;1;1
-4;102180;1;1
0;102180;3;1
2;40390;3;1
1;102011;1;0
1;121661;1;0
1;102190;1;0
-4;20380;1;1
2;20380;1;1
0;102021;1;1
0;102200;1;1
1;121671;2;0
-4;380000;1;0
2;20411;1;1
2;20411;1;1
1;121610;1;0
1;121620;1;0
1;80600;3;0
1;121630;3;0
0;102041;1;0
0;102051;1;0
0;102061;1;1
0;102061;1;1
0;102061;1;1
1;102071;1;0
1;121650;1;0
1;121660;1;1
1;121660;1;0
1;121660;1;0
1;80610;-4;1
1;121660;1;1
1;121691;2;0
-4;60410;3;1
2;60410;1;0
0;102230;1;1
0;60420;1;1
1;102240;1;0
2;-1;1;1
1;121701;1;0
0;80761;1;1
1;102250;2;0
0;102260;1;0
0;102260;1;1
0;102260;1;0
0;80620;1;0
0;102270;2;0
1;102081;1;0
0;102111;1;0
0;102111;1;1
2;40421;1;0
2;40421;3;1
2;20390;3;1
1;80781;1;1
0;80791;1;0
0;80791;1;0
1;121731;1;1
1;121741;1;1
1;-1;1;1
1;121741;1;1
1;80630;1;0
1;102290;2;1
2;20400;1;0
2;20431;3;1
1;80801;1;0
0;80811;1;0
0;60381;3;1
1;-1;1;0
0;80640;1;1
2;-1;3;1
1;121751;1;1
2;20461;1;1
2;20461;1;1
2;20461;3;1
1;121761;1;1
1;121730;1;1
1;121771;1;1
1;102171;1;0
1;121771;1;0
1;102320;3;0
2;20420;1;1
2;40420;3;1
2;40420;3;0
2;40420;1;0
2;-1;3;1
2;40420;-4;1
2;40420;1;1
2;40420;3;0
1;121781;3;1
1;121781;1;0
1;121781;1;0
1;121781;1;0
1;121781;3;0
1;121791;3;0
0;102181;1;0
1;121740;1;1
2;20430;1;1
2;20430;1;1
2;20430;3;1
1;102330;1;0
1;121750;1;1
2;20471;1;0
2;20471;1;1
2;20481;3;1
2;20481;3;0
2;40451;1;1
1;102350;3;1
2;20440;3;0
2;20440;1;0
2;20440;1;1
2;20440;1;1
2;40430;3;0
0;102360;1;1
1;80690;1;0
0;102211;1;0
1;80831;1;0
1;121821;2;1
1;121760;1;1
0;102231;1;1
2;40440;1;1
1;102241;1;0
2;20491;1;1
1;102251;1;0
0;102370;3;1
0;80700;1;1
0;102370;1;1
0;80710;1;0
1;121831;1;1
1;121831;1;0
1;121831;1;0
1;102271;1;1
1;121831;1;0
1;102281;1;0
1;121841;1;0
1;121841;1;0
2;40460;1;0
1;80720;1;1
1;102291;1;0
1;102380;1;0
2;20501;1;1
2;20501;3;1
1;102390;3;1
2;20450;3;0
0;-1;1;1
1;80730;1;0
2;20511;3;0
1;102410;1;0
1;121780;1;0
1;121790;1;1
1;121790;1;0
1;121861;2;0
1;121861;1;0
1;121861;1;1
1;121861;1;0
1;102321;3;1
1;121861;1;0
1;121861;3;1
1;121800;1;0
1;102420;1;1
1;121810;3;1
1;121871;1;1
1;121820;1;1
1;102430;1;0
2;80760;1;0
1;121881;1;0
1;80871;1;0
1;121830;1;0
2;40481;3;1
1;102440;1;1
0;-1;1;1
0;80891;1;1
1;102450;1;1
1;121891;1;0
0;80770;1;0
2;40491;1;1
2;40491;3;0
1;121840;2;1
1;102361;2;1
1;102371;1;1
1;102460;3;0
2;40501;1;1
2;20531;1;1
1;80780;2;1
1;102381;1;1
2;40480;3;1
2;90;1;0
2;90;1;0
1;121850;1;0
1;102391;2;1
1;102401;1;0
0;60441;1;0
0;102411;1;0
0;102421;1;1
0;102421;1;1
0;80921;1;0
2;100;3;0
1;102431;1;0
1;121860;2;1
2;40490;3;0
0;102441;1;0
1;80790;1;0
1;121911;2;1
0;80800;1;0
1;121890;2;0
1;102461;1;0
1;102540;3;0
1;121900;1;0
2;40500;3;1
1;102570;2;1
1;121931;1;0
1;121910;2;0
1;121941;1;0
0;102471;-4;1
1;102580;3;0
0;102481;1;1
0;102590;1;1
0;102590;3;1
0;102590;1;0
1;121920;1;0
1;121951;1;0
1;121951;1;0
0;102600;1;0
2;20551;3;1
2;20551;1;1
1;102610;1;0
2;141;1;1
2;141;2;1
2;141;1;0
1;-1;1;0
1;102501;1;1
1;102511;3;0
0;60451;3;1
1;80820;3;1
1;80820;1;0
1;80820;1;0
1;80820;1;1
1;80820;1;0
1;80820;2;1
2;20561;1;1
2;20561;3;1
1;121930;1;0
2;-1;3;1
2;80941;3;0
2;80941;3;0
2;80941;3;1
1;102640;1;1
2;40521;1;0
0;102650;-4;1
0;102650;1;0
0;60430;1;0
1;121940;3;1
2;80951;1;1
2;80951;3;0
0;102660;1;0
1;121960;1;1
1;102670;3;1
1;121991;3;0
1;121991;3;0
1;121991;1;1
1;80971;1;1
1;80971;1;0
1;80971;1;1
0;102571;1;0
0;102571;1;0
1;121980;1;0
0;60461;1;0
0;60461;1;1
1;122001;2;1
1;80981;1;0
1;102690;2;0
1;121990;1;0
1;122011;1;1
1;102581;3;0
1;122031;1;0
1;122000;1;0
1;102601;1;0
-4;102710;1;1
2;20571;1;0
2;20571;1;1
1;122061;3;1
1;102611;1;0
1;122061;2;0
1;122061;2;0
1;122020;1;0
0;102720;1;0
0;102621;1;1
0;102621;1;0
0;102621;1;1
0;102621;1;1
1;122030;2;1
1;122071;1;0
0;60481;1;1
1;81001;1;1
1;102651;1;0
2;20581;3;0
2;20581;1;1
1;122060;3;1
1;122080;1;0
1;81021;1;0
0;60440;1;0
1;122081;1;0
1;102671;1;0
1;122110;1;0
2;40520;1;1
1;122120;1;0
1;102750;1;1
1;102681;1;0
2;40531;3;0
1;122091;2;1
1;81041;-4;0
2;60491;1;1
1;81051;1;0
1;122101;1;0
1;102691;1;1
1;102691;1;1
1;81051;-4;1
-4;122130;1;0
1;122140;1;1
0;80850;1;0
1;122121;3;1
1;122150;2;1
0;102760;1;1
0;102760;1;0
0;102760;-4;0
0;102701;1;0
0;102701;1;0
1;122141;1;1
1;102711;1;0
1;122160;1;1
1;102721;1;0
1;122170;3;1
1;122180;1;0
1;122151;2;1
1;122151;3;1
1;80860;1;0
2;20601;1;0
2;-1;1;0
0;81061;1;0
1;102780;1;0
1;102780;2;1
1;122161;2;0
1;102790;1;0
1;122171;3;0
1;122181;2;0
1;102800;1;0
2;60450;3;1
1;122190;1;0
2;40541;1;0
0;102731;1;0
0;81081;1;0
0;102741;1;0
0;102741;3;0
2;20611;1;1
2;20611;1;1
2;20611;3;1
2;20470;1;1
2;20470;3;0
2;20470;1;1
2;20470;3;1
2;20470;1;1
1;102820;1;0
1;122200;1;1
1;122200;1;1
2;60460;3;1
0;102751;-4;1
0;102751;1;0
1;81091;1;0
1;102830;1;0
1;122210;1;1
1;122191;1;0
1;122220;1;0
1;-1;1;1
1;122220;1;0
1;122230;-4;0
1;80890;1;0
0;102791;1;0
0;60521;1;0
1;102801;1;0
1;122201;2;1
1;122250;1;1
2;40551;1;1
1;122211;2;1
1;122270;1;0
2;60531;3;1
2;60531;3;0
2;40561;3;0
2;40561;1;1
2;40530;1;0
2;-1;1;1
2;40530;3;0
2;40530;1;0
2;40530;3;1
1;122290;3;0
1;122290;1;1
2;60541;1;0
2;20621;3;1
2;20621;1;1
2;20621;3;1
2;20621;1;1
2;20621;3;0
1;81101;1;0
-4;122231;1;0
1;102850;-4;1
1;122300;2;1
1;122241;1;0
1;122310;1;1
1;102821;2;0
1;122330;2;0
-4;81111;1;0
0;102870;1;1
1;102890;1;0
1;102890;2;0
0;102900;1;1
0;80910;1;0
1;80930;1;0
0;102910;1;1
0;80940;1;1
1;122291;1;0
2;60470;3;0
1;122400;3;1
1;102920;1;0
1;122400;1;1
1;102851;1;0
1;102950;1;0
1;102871;1;0
1;122301;1;0
1;122301;1;0
1;122301;3;1
1;122301;3;1
1;102881;3;0
1;122301;1;1
1;122301;1;1
1;122430;1;0
0;60480;1;0
0;60480;1;0
1;102980;-4;1
1;102891;1;1
1;102891;1;0
1;122311;1;0
1;102891;1;0
0;80950;1;0
0;102911;1;0
2;20631;1;1
2;20631;1;1
2;20631;1;0
2;20631;3;0
1;102931;1;0
1;122351;1;1
0;102951;1;1
2;20641;3;1
2;20641;1;1
1;122361;1;1
0;102990;1;1
1;103000;3;0
2;60490;3;1
2;60490;1;1
0;60500;3;1
2;161;2;1
2;161;1;1
1;122371;1;0
2;20651;1;0
1;122440;1;0
0;102971;1;1
2;171;3;1
2;40550;1;0
2;40550;1;1
2;40550;1;0
1;102981;1;1
0;102991;1;0
2;40560;3;1
1;122450;1;0
0;-1;1;1
1;103011;1;0
2;20500;3;1
2;20500;1;1
2;40581;1;0
2;-1;3;0
2;80960;1;1
1;122401;1;0
2;181;1;0
1;122470;1;0
1;122421;1;0
1;103050;3;0
1;103060;1;0
0;103031;1;0
1;103041;2;0
2;20530;1;1
1;-1;1;0
1;122480;2;1
0;103080;1;1
1;122490;1;0
1;103090;1;0
0;60561;1;0
0;80970;1;0
1;103100;-4;1
1;80980;1;0
1;103110;3;1
1;122461;1;0
1;122461;1;0
0;103120;1;1
0;-1;1;1
1;103140;1;0
1;122510;1;0
1;122520;1;1
2;80990;1;1
2;80990;3;1
2;60571;1;1
2;60571;3;0
2;40601;1;1
2;40601;3;1
1;81141;1;0
1;122530;1;1
2;40570;3;1
2;20540;1;1
1;122540;1;1
2;40580;1;1
2;40580;3;1
1;122550;1;0
1;103071;1;0
1;103170;1;0
1;122560;1;1
1;122560;3;1
1;122570;1;0
2;81161;1;1
1;103190;1;0
1;122481;1;1
2;81010;1;1
2;81010;1;1
1;-1;3;0
0;103210;1;0
1;103220;1;0
1;122590;1;1
1;122590;1;1
0;60530;2;0
1;122491;1;1
1;103081;3;1
1;103081;2;0
0;103230;1;1
1;122501;2;1
1;122501;3;1
1;122501;1;1
2;40590;3;1
2;40590;1;0
1;103240;1;0
2;20711;1;1
1;122521;2;1
1;122521;1;0
1;103091;1;0
1;81181;1;0
2;40621;1;1
1;122610;1;1
1;122610;1;1
1;122531;3;0
1;103250;1;0
1;122541;1;0
1;122551;1;1
